country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,hour
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",2025-10-03 17:00:00,26.1209,85.3647,SO2,4.0,10.0,5.0,2025-10-03,17
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-10-03 17:00:00,25.586562,85.043586,SO2,3.0,7.0,5.0,2025-10-03,17
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2025-10-03 17:00:00,25.42742023,86.13886079,CO,36.0,64.0,49.0,2025-10-03,17
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",2025-10-03 17:00:00,25.42742023,86.13886079,OZONE,2.0,6.0,3.0,2025-10-03,17
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2025-10-03 17:00:00,25.251013,86.989001,PM10,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",2025-10-03 17:00:00,25.251013,86.989001,NH3,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",2025-10-03 17:00:00,25.265194,87.012947,PM2.5,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-10-03 17:00:00,26.446912,91.439057,NO2,8.0,58.0,24.0,2025-10-03,17
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",2025-10-03 17:00:00,26.446912,91.439057,CO,8.0,40.0,24.0,2025-10-03,17
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2025-10-03 17:00:00,24.82827,92.79525,SO2,5.0,19.0,9.0,2025-10-03,17
India,Assam,Silchar,"Tarapur, Silchar - PCBA",2025-10-03 17:00:00,24.82827,92.79525,CO,20.0,37.0,23.0,2025-10-03,17
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",2025-10-03 17:00:00,26.987634,94.636574,PM10,40.0,94.0,69.0,2025-10-03,17
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",2025-10-03 17:00:00,26.0881305,87.93840336,NH3,10.0,13.0,11.0,2025-10-03,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",2025-10-03 17:00:00,27.308328,84.531742,CO,24.0,107.0,76.0,2025-10-03,17
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-10-03 17:00:00,26.63086,84.90051,PM2.5,13.0,277.0,132.0,2025-10-03,17
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",2025-10-03 17:00:00,26.63086,84.90051,PM10,58.0,185.0,117.0,2025-10-03,17
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-10-03 17:00:00,25.56752,83.966379,PM10,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",2025-10-03 17:00:00,25.56752,83.966379,NH3,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",2025-10-03 17:00:00,24.7955,84.9994,SO2,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-10-03 17:00:00,24.792403,84.992416,NO2,3.0,7.0,5.0,2025-10-03,17
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-10-03 17:00:00,24.792403,84.992416,SO2,15.0,17.0,16.0,2025-10-03,17
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2025-10-03 17:00:00,25.5626095,84.663264,PM2.5,18.0,170.0,90.0,2025-10-03,17
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",2025-10-03 17:00:00,25.5626095,84.663264,NO2,5.0,9.0,7.0,2025-10-03,17
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",2025-10-03 17:00:00,24.75746,84.366208,PM2.5,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",2025-10-03 17:00:00,24.792403,84.992416,CO,8.0,78.0,31.0,2025-10-03,17
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",2025-10-03 17:00:00,25.586562,85.043586,CO,38.0,96.0,53.0,2025-10-03,17
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-10-03 17:00:00,25.592539,85.227158,PM10,113.0,368.0,202.0,2025-10-03,17
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-10-03 17:00:00,25.592539,85.227158,NO2,6.0,11.0,8.0,2025-10-03,17
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-10-03 17:00:00,25.592539,85.227158,SO2,5.0,9.0,7.0,2025-10-03,17
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",2025-10-03 17:00:00,25.592539,85.227158,OZONE,16.0,33.0,26.0,2025-10-03,17
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2025-10-03 17:00:00,25.610369,85.132568,SO2,4.0,9.0,7.0,2025-10-03,17
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",2025-10-03 17:00:00,25.610369,85.132568,OZONE,25.0,26.0,25.0,2025-10-03,17
India,Bihar,Patna,"Muradpur, Patna - BSPCB",2025-10-03 17:00:00,25.619651,85.147382,PM2.5,133.0,295.0,218.0,2025-10-03,17
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2025-10-03 17:00:00,25.599486,85.113666,SO2,9.0,19.0,13.0,2025-10-03,17
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",2025-10-03 17:00:00,25.599486,85.113666,OZONE,4.0,30.0,25.0,2025-10-03,17
India,Bihar,Patna,"Samanpura, Patna - BSPCB",2025-10-03 17:00:00,25.596727,85.085624,PM2.5,61.0,309.0,204.0,2025-10-03,17
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",2025-10-03 17:00:00,30.751462,76.762879,OZONE,1.0,74.0,59.0,2025-10-03,17
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2025-10-03 17:00:00,30.719859,76.738637,NO2,20.0,162.0,79.0,2025-10-03,17
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2025-10-03 17:00:00,30.719859,76.738637,SO2,6.0,60.0,24.0,2025-10-03,17
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2025-10-03 17:00:00,30.719859,76.738637,CO,37.0,111.0,66.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2025-10-03 17:00:00,21.194815,81.31477,PM2.5,49.0,91.0,62.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2025-10-03 17:00:00,21.194815,81.31477,PM10,61.0,127.0,84.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",2025-10-03 17:00:00,21.194815,81.31477,SO2,13.0,49.0,26.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2025-10-03 17:00:00,21.185571,81.343175,NO2,3.0,11.0,6.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",2025-10-03 17:00:00,21.185571,81.343175,SO2,6.0,17.0,10.0,2025-10-03,17
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2025-10-03 17:00:00,22.348441,82.549611,NH3,1.0,2.0,2.0,2025-10-03,17
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2025-10-03 17:00:00,22.12665,83.483212,PM2.5,43.0,316.0,151.0,2025-10-03,17
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2025-10-03 17:00:00,22.1910172,83.5197009,PM10,107.0,452.0,164.0,2025-10-03,17
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2025-10-03 17:00:00,22.1910172,83.5197009,CO,31.0,126.0,51.0,2025-10-03,17
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2025-10-03 17:00:00,21.258815,81.578979,NO2,46.0,77.0,66.0,2025-10-03,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2025-10-03 17:00:00,25.366336,87.117468,NH3,3.0,3.0,3.0,2025-10-03,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",2025-10-03 17:00:00,25.366336,87.117468,OZONE,12.0,61.0,26.0,2025-10-03,17
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",2025-10-03 17:00:00,25.892357,86.590325,NH3,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",2025-10-03 17:00:00,25.859655,85.77944,NO2,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",2025-10-03 17:00:00,24.952822,84.002396,PM10,61.0,191.0,126.0,2025-10-03,17
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2025-10-03 17:00:00,26.2271665,84.3570427,PM10,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2025-10-03 17:00:00,30.735567,76.775714,NO2,24.0,140.0,50.0,2025-10-03,17
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2025-10-03 17:00:00,21.219665,81.630094,PM10,63.0,140.0,87.0,2025-10-03,17
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2025-10-03 17:00:00,21.219665,81.630094,CO,38.0,70.0,45.0,2025-10-03,17
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",2025-10-03 17:00:00,21.219665,81.630094,OZONE,7.0,34.0,11.0,2025-10-03,17
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2025-10-03 17:00:00,21.371751,81.664929,PM2.5,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-10-03 17:00:00,22.118125,83.140608,PM10,61.0,180.0,101.0,2025-10-03,17
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-10-03 17:00:00,22.118125,83.140608,NO2,21.0,47.0,30.0,2025-10-03,17
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-10-03 17:00:00,22.118125,83.140608,NH3,2.0,3.0,3.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2025-10-03 17:00:00,21.224231,81.40835,PM2.5,57.0,150.0,81.0,2025-10-03,17
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",2025-10-03 17:00:00,21.224231,81.40835,PM10,66.0,138.0,99.0,2025-10-03,17
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",2025-10-03 17:00:00,22.118125,83.140608,CO,39.0,70.0,55.0,2025-10-03,17
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2025-10-03 17:00:00,28.684678,77.076574,SO2,5.0,11.0,8.0,2025-10-03,17
India,Delhi,Delhi,"Mundka, Delhi - DPCC",2025-10-03 17:00:00,28.684678,77.076574,OZONE,6.0,114.0,81.0,2025-10-03,17
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-10-03 17:00:00,28.60909,77.0325413,PM2.5,32.0,151.0,86.0,2025-10-03,17
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-10-03 17:00:00,28.60909,77.0325413,NO2,12.0,35.0,22.0,2025-10-03,17
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-10-03 17:00:00,28.60909,77.0325413,CO,1.0,193.0,70.0,2025-10-03,17
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2025-10-03 17:00:00,28.570173,76.933762,SO2,3.0,20.0,16.0,2025-10-03,17
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2025-10-03 17:00:00,21.371751,81.664929,SO2,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",2025-10-03 17:00:00,21.371751,81.664929,CO,14.0,41.0,35.0,2025-10-03,17
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2025-10-03 17:00:00,22.06631475,83.33820077,PM2.5,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2025-10-03 17:00:00,22.06631475,83.33820077,PM10,25.599043715846996,86.22131147540983,51.459016393442624,2025-10-03,17
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",2025-10-03 17:00:00,22.06631475,83.33820077,NO2,23.0,93.0,56.0,2025-10-03,17
