country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Silchar,"Tarapur, Silchar - PCBA","10-03-2025 17:00:00",24.82827,92.79525,SO2,5,19,9
India,Assam,Silchar,"Tarapur, Silchar - PCBA","10-03-2025 17:00:00",24.82827,92.79525,CO,20,37,23
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","10-03-2025 17:00:00",26.987634,94.636574,PM10,40,94,69
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","10-03-2025 17:00:00",26.0881305,87.93840336,NH3,10,13,11
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","10-03-2025 17:00:00",27.308328,84.531742,CO,24,107,76
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","10-03-2025 17:00:00",26.63086,84.90051,PM2.5,13,277,132
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","10-03-2025 17:00:00",26.63086,84.90051,PM10,58,185,117
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","10-03-2025 17:00:00",25.567520,83.966379,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","10-03-2025 17:00:00",25.567520,83.966379,NH3,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","10-03-2025 17:00:00",24.7955,84.9994,SO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","10-03-2025 17:00:00",24.792403,84.992416,NO2,3,7,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","10-03-2025 17:00:00",24.792403,84.992416,SO2,15,17,16
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","10-03-2025 17:00:00",25.5626095,84.663264,PM2.5,18,170,90
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","10-03-2025 17:00:00",25.5626095,84.663264,NO2,5,9,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","10-03-2025 17:00:00",24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","10-03-2025 17:00:00",24.792403,84.992416,CO,8,78,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","10-03-2025 17:00:00",25.586562,85.043586,CO,38,96,53
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,PM10,113,368,202
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,NO2,6,11,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,SO2,5,9,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,OZONE,16,33,26
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","10-03-2025 17:00:00",25.610369,85.132568,SO2,4,9,7
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","10-03-2025 17:00:00",25.610369,85.132568,OZONE,25,26,25
India,Bihar,Patna,"Muradpur, Patna - BSPCB","10-03-2025 17:00:00",25.619651,85.147382,PM2.5,133,295,218
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","10-03-2025 17:00:00",25.599486,85.113666,SO2,9,19,13
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","10-03-2025 17:00:00",25.599486,85.113666,OZONE,4,30,25
India,Bihar,Patna,"Samanpura, Patna - BSPCB","10-03-2025 17:00:00",25.596727,85.085624,PM2.5,61,309,204
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","10-03-2025 17:00:00",30.751462,76.762879,OZONE,1,74,59
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-03-2025 17:00:00",30.719859,76.738637,NO2,20,162,79
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-03-2025 17:00:00",30.719859,76.738637,SO2,6,60,24
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","10-03-2025 17:00:00",30.719859,76.738637,CO,37,111,66
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","10-03-2025 17:00:00",21.194815,81.314770,PM2.5,49,91,62
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","10-03-2025 17:00:00",21.194815,81.314770,PM10,61,127,84
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","10-03-2025 17:00:00",21.194815,81.314770,SO2,13,49,26
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","10-03-2025 17:00:00",21.185571,81.343175,NO2,3,11,6
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","10-03-2025 17:00:00",21.185571,81.343175,SO2,6,17,10
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","10-03-2025 17:00:00",22.348441,82.549611,NH3,1,2,2
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","10-03-2025 17:00:00",22.126650,83.483212,PM2.5,43,316,151
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","10-03-2025 17:00:00",22.1910172,83.5197009,PM10,107,452,164
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","10-03-2025 17:00:00",22.1910172,83.5197009,CO,31,126,51
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","10-03-2025 17:00:00",21.258815,81.578979,NO2,46,77,66
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","10-03-2025 17:00:00",25.366336,87.117468,NH3,3,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","10-03-2025 17:00:00",25.366336,87.117468,OZONE,12,61,26
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","10-03-2025 17:00:00",25.892357,86.590325,NH3,NA,NA,NA
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","10-03-2025 17:00:00",25.859655,85.77944,NO2,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","10-03-2025 17:00:00",24.952822,84.002396,PM10,61,191,126
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","10-03-2025 17:00:00",26.2271665,84.3570427,PM10,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","10-03-2025 17:00:00",30.735567,76.775714,NO2,24,140,50
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-03-2025 17:00:00",21.219665,81.630094,PM10,63,140,87
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-03-2025 17:00:00",21.219665,81.630094,CO,38,70,45
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","10-03-2025 17:00:00",21.219665,81.630094,OZONE,7,34,11
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","10-03-2025 17:00:00",21.371751,81.664929,PM2.5,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","10-03-2025 17:00:00",22.118125,83.140608,PM10,61,180,101
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","10-03-2025 17:00:00",22.118125,83.140608,NO2,21,47,30
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","10-03-2025 17:00:00",22.118125,83.140608,NH3,2,3,3
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","10-03-2025 17:00:00",21.224231,81.408350,PM2.5,57,150,81
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","10-03-2025 17:00:00",21.224231,81.408350,PM10,66,138,99
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","10-03-2025 17:00:00",22.118125,83.140608,CO,39,70,55
